,coordinates,score
0,"-1.95801868,51.70438426",0.8288535859564139
1,"-87.632496,41.883222",0.3235937808795966
2,"-118.1938,33.7692",0.4665010042334535
3,"-80.1418,26.1358",0.09846278752617828
4,"144.96469,-37.8121099",0.4739719458715758
5,"3.56497664,6.46869909",0.7380298587484138
6,"77.30498398,28.50676735",0.751251142422686
7,"27.8635755,-32.9911514",0.3324726990627741
8,"77.0110092,20.7124805",0.21381938700776762
9,"-88.096389,41.529167",0.29767044534197235
10,"18.47366533,-34.06068333",0.4089447148574608
11,"-118.3339186,34.08347674",0.48996481408903264
12,"1.6762,52.32817",0.5503360739396916
13,"36.81268742,-1.3114538",0.6172214564234295
14,"3.357249,6.504751",0.8817968770246637
15,"145.05118108,-38.22657429",0.6151102394844992
16,"-73.56725453,45.75975883",0.33334515963697015
17,"-73.56725453,45.75975883",0.5097362666113564
18,"8.64929893,44.74346078",0.6138138007895456
19,"139.620684,35.705193",0.3832271461139014
20,"123.7597136,10.20725944",0.6390238256031672
21,"151.70629978,-32.88920957",0.7430938995693278
22,"-100.3189,25.6714",0.17869538739551272
23,"-0.11404,51.46221",0.6488738257310944
24,"7.2768105,9.1034145",0.40398254338007267
25,"88.3699,22.5697",0.6435266241715815
26,"-73.56725453,45.75975883",0.29197317720331345
27,"-117.86996,33.59552",0.7399958128633182
28,"103.8022186,1.2813938",0.7085907286243882
29,"-122.419,37.7793",0.4611891174170234
30,"74.23716676,31.35283212",0.525217414041262
31,"-6.60953,54.75552",0.19847893869851066
32,"77.30809,23.268888",0.4568933768761311
33,"135.76647528,35.00542084",0.3441678860066909
34,"-95.34642,29.7007",0.48734952999852343
35,"35.112,31.7691",0.5656196304291237
36,"28.1049,-25.9956",0.09261215317056194
37,"72.8764,19.0627",0.5725204916893064
38,"100.67705078,13.76598429",0.3721630597627677
39,"144.9630576,-37.8136276",0.7249659707581444
40,"-0.1094,51.5141",0.6088997469352005
41,"18.40874081,-33.90751277",0.5162017682197003
42,"-73.8309,40.7",0.3660206509901509
43,"100.49353003,5.14794197",0.2581017805249635
44,"36.0591044,-0.2876357",0.6856293011578057
45,"77.219672,28.631747",0.7522816336569651
