,coordinates,score
0,"-1.95801868,51.70438426",0.5586386322975159
1,"-87.632496,41.883222",0.7463487386703491
2,"-118.1938,33.7692",0.2600008547306061
3,"-80.1418,26.1358",0.10816586017608643
4,"144.96469,-37.8121099",0.06981436908245087
5,"3.56497664,6.46869909",0.30223122239112854
6,"77.30498398,28.50676735",0.23374836146831512
7,"27.8635755,-32.9911514",0.343941867351532
8,"77.0110092,20.7124805",0.2954031229019165
9,"-88.096389,41.529167",0.2740108370780945
10,"18.47366533,-34.06068333",0.7094645500183105
11,"-118.3339186,34.08347674",0.8033867478370667
12,"1.6762,52.32817",0.37979617714881897
13,"36.81268742,-1.3114538",0.46755582094192505
14,"3.357249,6.504751",0.021415170282125473
15,"145.05118108,-38.22657429",0.11785653978586197
16,"-73.56725453,45.75975883",0.1603032797574997
17,"-73.56725453,45.75975883",0.47496506571769714
18,"8.64929893,44.74346078",0.5816339254379272
19,"139.620684,35.705193",0.6300186514854431
20,"123.7597136,10.20725944",0.6489819288253784
21,"151.70629978,-32.88920957",0.10741923749446869
22,"-100.3189,25.6714",0.3029918968677521
23,"-0.11404,51.46221",0.6363839507102966
24,"7.2768105,9.1034145",0.5183988809585571
25,"88.3699,22.5697",0.49603819847106934
26,"-73.56725453,45.75975883",0.19614282250404358
27,"-117.86996,33.59552",0.04195740446448326
28,"103.8022186,1.2813938",0.8997306227684021
29,"-122.419,37.7793",0.4951741099357605
30,"74.23716676,31.35283212",0.7921438217163086
31,"-6.60953,54.75552",0.532880425453186
32,"77.30809,23.268888",0.4156666100025177
33,"135.76647528,35.00542084",0.2022053748369217
34,"-95.34642,29.7007",0.637484073638916
35,"35.112,31.7691",0.591937780380249
36,"28.1049,-25.9956",0.2097865343093872
37,"72.8764,19.0627",0.742420494556427
38,"100.67705078,13.76598429",0.24126076698303223
39,"144.9630576,-37.8136276",0.271573007106781
40,"-0.1094,51.5141",0.149720698595047
41,"18.40874081,-33.90751277",0.8796062469482422
42,"-73.8309,40.7",0.5210036039352417
43,"100.49353003,5.14794197",0.9158833026885986
44,"36.0591044,-0.2876357",0.7857861518859863
45,"77.219672,28.631747",0.3067529797554016
46,"101.5203,3.0662",0.6382739543914795
47,"-73.8309,40.7",0.7121720314025879
48,"-82.45222222,28.00527778",0.1478220671415329
49,"151.70629978,-32.88920957",0.10741923749446869
50,"-73.56726563,45.63697547",0.4703481197357178
51,"-3.68333,40.4",0.9083994030952454
52,"-73.56725453,45.75975883",0.17207665741443634
53,"-0.77620106,53.39368289",0.5504980087280273
54,"145.2590815,-37.9966985",0.24972118437290192
55,"-6.5,53.83333333",0.10201150178909302
56,"-1.26079,52.37036",0.47594302892684937
57,"139.702227,35.748162",0.5576177835464478
58,"-111.074249,45.6706102",0.9698987603187561
59,"-2.32993,52.11144",0.6071706414222717
60,"-121.5705372,37.00748787",0.4296104609966278
61,"153.03283453,-27.54767912",0.7100354433059692
62,"-118.3885,33.8492",0.36154183745384216
63,"-118.2445,34.0564",0.0347953736782074
64,"88.3699,22.5697",0.4618946313858032
65,"47.9783,29.3697",0.3008814752101898
66,"-93.23706404,44.94941659",0.9313839077949524
67,"-0.13355317,51.49594393",0.6750420928001404
68,"73.06521592,33.69386247",0.8436458110809326
69,"138.57303458,36.44614881",0.424082487821579
70,"21.008333,52.232222",0.3893187642097473
71,"-73.56725453,45.75975883",0.1936854124069214
72,"116.54,40.1008",0.44360530376434326
73,"75.8655,22.7253",0.33280056715011597
74,"-115.38,32.8119",0.5132596492767334
75,"121.0992002,14.6329111",0.9816402792930603
76,"75.8655,22.7253",0.8801639676094055
77,"-0.09428155,51.48399866",0.936391294002533
78,"77,21",0.27982407808303833
79,"144.9661,-37.8156",0.5118448734283447
80,"-123.11549122,49.27083915",0.22879762947559357
81,"10.1797,36.8028",0.30853545665740967
82,"91.77,26.14",0.8390369415283203
83,"88.3474,22.50116",0.8198749423027039
84,"-73.56726563,45.63697547",0.7386007308959961
85,"151.20797,-33.86751",0.8884328603744507
86,"153.028,-27.4678",0.12418574839830399
87,"3.39583,6.45306",0.24370865523815155
88,"-0.77616554,53.39367443",0.5504980087280273
89,"-114.615,32.6921",0.23816804587841034
