,coordinates,score
0,"-77.14833333,39.08361111",-0.07916666666666666
1,"3.39583,6.45306",0.26666666666666666
2,"-1.772751,51.557735",-0.3333333333333333
3,"77.243359,28.616813",0.2458333333333333
4,"-112.0777,33.4482",0.26666666666666666
5,"-0.77618761,53.39362557",-0.125
6,"77.597645,12.971117",-0.05681818181818182
7,"-3.345208,56.59749",0.014285714285714282
8,"-123.12713019,49.24963985",0.06818181818181818
9,"-73.56726563,45.63697547",0.0
10,"-97.73549055,30.26585335",0.25
11,"-122.38302451,47.6675415",-0.4
12,"139.73100026,35.69101673",0.3872727272727273
13,"30.6833,36.9",0.0
14,"139.70196995,35.67250928",0.275
15,"138.54103088,-35.11857466",0.36948051948051946
16,"-3.10937374,53.33069444",0.10454545454545454
17,"77,21",-0.01367965367965368
18,"121.03619057,14.56466219",0.16818181818181818
19,"7.4833,9.0667",1.0
20,"-3.16304,56.1096",0.1
21,"-73.56725453,45.75975883",-0.12
22,"-115.025,36.0292",0.25
23,"-6.28034668,53.36853317",0.25
24,"27.8635755,-32.9911514",0.4
25,"-79.3872,43.648",-0.6
26,"77.27563262,28.52336087",0.3287878787878788
27,"117.88223349,-35.02493004",0.2277777777777777
28,"-95.40618696,29.7428586",0.0
29,"77.30391966,28.63548279",-0.08
30,"8.9328,44.4111",0.21
31,"145.21939,-37.7379",0.875
32,"83.35271358,26.7455529",0.35
33,"145.0032,-37.8215",0.85
34,"-73.9991637,40.7536854",0.5
35,"-117.750158,34.057766",0.05
36,"-0.77624122,53.39363605",-0.125
37,"121.0801506,14.58636613",0.011111111111111113
38,"-6.24327711,53.36001999",0.0
39,"-4.629734,54.08989",0.2
40,"72.83,21.17",0.5
41,"76.65525,12.30957",-0.275
42,"100.7186137,13.6136327",-0.20666666666666664
43,"77.18821,28.57337",-0.25
44,"-6.26174338,53.34411666",-0.08333333333333333
45,"24,-29",0.0
46,"-79.3872,43.648",0.5
47,"28.1869,-25.7533",0.0
48,"-0.1373291,51.49506473",-0.03333333333333333
49,"-92.0949,32.5103",0.275
50,"84.98904,24.69624",0.0
51,"3.39583,6.45306",0.35625
52,"-73.56725453,45.75975883",0.0
53,"-121.7677,37.685",-0.25
54,"-73.9675,40.7779",0.0
55,"7.0642,4.8164",0.3293939393939394
56,"-3.0447,53.815",-0.0625
57,"145.767,-16.9167",0.21666666666666665
58,"-73.56725453,45.75975883",-0.03333333333333333
59,"-73.56725453,45.75975883",0.575
60,"153.0007481,-27.42509875",0.3742857142857143
61,"-114.03711,46.84002",0.375
62,"76.4,15.2667",0.5
63,"-73.56726563,45.63697547",0.0
64,"-6.28034668,53.36853317",0.08666666666666667
65,"-84.73215396,9.95487779",0.0
66,"-73.56725453,45.75975883",-0.014285714285714284
67,"-2.1368539,53.3965003",0.0
68,"28.06045532,-26.21659308",0.05000000000000002
69,"115.859,-31.9522",0.5
70,"28.06045532,-26.21659308",0.0
71,"-1.93048239,53.60276332",0.13636363636363635
72,"8,9",0.31875000000000003
73,"74.3544769,34.1950912",0.7
74,"73.1667,33.7",0.7
75,"-1.95600993,53.81436215",0.1527777777777778
76,"85.32060189,27.69555472",0.0
77,"-73.56726563,45.63697547",-0.2916666666666667
78,"127.976,26.5881",0.35
79,"-3,40",0.0
80,"28.06045532,-26.21659308",0.0
81,"151.2186,-33.8779",0.13636363636363635
82,"-73.56726563,45.63697547",0.0
83,"12.3889,43.1122",0.14
84,"-0.50489316,51.33997512",0.45
85,"0.75,51.25",0.0
86,"-73.56725453,45.75975883",0.16
87,"46.69877,24.69951",0.075
88,"-122.33142,47.6689099",0.1
89,"135,-25",0.0
90,"-1.49328634,51.99618921",0.0
91,"77,21",0.0
92,"-6.24327711,53.36001999",0.25
93,"85.75022542,26.15973725",0.0
94,"-73.56726563,45.63697547",0.11818181818181818
95,"-3.66282188,40.42739354",0.0
96,"4.70898148,50.87555246",0.0
97,"151.20797,-33.86751",0.125
98,"144.9661,-37.8156",-0.1
99,"-73.97717804,40.75280418",0.0625
100,"-92.3371,38.96542001",0.11250000000000004
101,"-73.56725453,45.75975883",0.0
102,"107.09472656,-7.01366793",0.12670454545454546
103,"77,21",0.5
104,"-0.882068,52.2519559",0.4666666666666666
105,"2.1683,41.3894",0.5
106,"75.61648291,28.62963821",0.0
107,"120.9808,14.5896",0.0
108,"77,21",0.4109375
109,"-73.73022,45.43897",0.6
110,"119.417,-9.63333",0.06666666666666668
111,"28.5823,-20.1546",0.0
112,"-81,34",0.0
113,"-0.13355317,51.49594393",0.0
114,"-74.0007613,40.7207559",-0.041666666666666664
115,"7.44028,10.5231",0.5
116,"-5.84,54.59093333",0.2083333333333333
117,"18.8670431,-33.9644859",0.0
118,"-73.5558,45.5188",-0.2916666666666667
119,"-74.0007613,40.7207559",0.13636363636363635
120,"-77.0254134,38.9394636",-0.3125
121,"-73.56725453,45.75975883",0.0
122,"36.6833,-3.36667",0.25
123,"106.78827464,-6.22878584",0.3
124,"-90.070864,29.948479",0.5
125,"-0.1094,51.5141",0.0
126,"-73.56725453,45.75975883",-0.2444444444444445
127,"-0.22743093,5.63988563",0.135
128,"37.6156,55.7522",0.0
129,"-0.77616967,53.39361707",0.0
130,"77.3078084,28.59008003",-0.03571428571428571
131,"115.15274763,-8.67926657",0.0
132,"-100,40",0.0
133,"-97.73549055,30.26585335",-0.03787878787878788
134,"123.01666944,11.33333056",0.0
135,"3.39583,6.45306",0.2347222222222222
136,"-83.92097086,35.98519056",0.428125
137,"-80.109346,26.1609172",0.7375
138,"4.35,50.85",-0.1375
139,"-10.8047,6.31056",-0.2
140,"-71.0565,42.3577",0.03333333333333333
141,"116.46950644,39.91256248",0.07878787878787878
142,"37.6156,55.7522",0.0
143,"-1.186704,54.471882",0.0
144,"-106.6967,35.2413",0.16818181818181818
145,"-73.56725453,45.75975883",0.35
146,"-79.7164011,43.7742911",-0.12121212121212124
147,"-73.56725453,45.75975883",0.13333333333333333
148,"-73.90709804,40.73856365",0.0
149,"18.06867,59.32463",0.0
150,"-1.95601359,53.81436157",0.18229166666666669
151,"-0.0880271,51.3652378",0.0
152,"1.3791,51.38692",0.0
153,"-84.40124737,39.14534155",0.2333333333333334
154,"3.39583,6.45306",0.0
155,"85.32060189,27.69555472",0.1727272727272727
156,"-0.11452758,51.50704623",0.0
157,"174.7657,-36.8473",0.13636363636363635
158,"-16.73119605,28.07975452",0.041666666666666664
159,"-78.8494,42.9047",0.13636363636363635
160,"37.6156,55.7522",0.044999999999999984
161,"6.13418541,46.23290052",0.25
162,"37.6156,55.7522",0.0
163,"21.008333,52.232222",0.0
164,"18.06867,59.32463",0.0
165,"13.128416,11.8111936",0.0
166,"-1.46989346,52.91765398",0.13636363636363635
167,"85.310244,27.713776",0.0
168,"151.14186595,-33.94516709",0.5052083333333334
169,"120.9808,14.5896",0.325
170,"74.3436,31.5497",0.04863636363636363
171,"150.78706,-34.20191",-0.06
172,"-4.77012634,55.94889345",0.1590909090909091
173,"14.4006,35.9483",0.0
174,"-73.56726563,45.63697547",0.0
175,"78.0853,17.6247",0.4
176,"-0.1433,51.541",0.0
177,"7.4833,9.0667",0.12727272727272726
178,"-2.3259902,53.425025",-0.06547619047619048
179,"121.02879256,14.65584765",0.0
180,"-73.56725453,45.75975883",0.0875
181,"-0.0880271,51.3652378",-0.1
182,"174.731,-36.6275",-0.003626104797979805
183,"150.693914,-33.752264",0.25
184,"-74.0064,40.7142",0.0633996212121212
185,"-118.2445,34.0564",0.0
186,"-1.78606,53.7108383",-0.2890277777777778
187,"-73.56726563,45.63697547",0.0
188,"-3.68333,40.4",0.0
189,"3.37423772,6.51641698",0.4125
190,"-122.41445,37.758664",-0.09999999999999992
191,"-76.70850527,39.34391683",0.2291666666666667
192,"102.14102983,19.87447924",0.4
193,"-77.3423,38.6483",0.0
194,"153.14074516,-30.31137527",0.02862554112554112
195,"1.43388891,38.7555542",0.125
196,"55.3647498,25.305348",0.1
197,"112.743,-7.2647",0.3
198,"-83.378571,33.957845",-0.1
199,"-74.0007613,40.7207559",0.13636363636363635
200,"-2.95462662,51.60972526",0.78125
201,"-73.56726563,45.63697547",0.0
202,"85.38669,26.124",0.2598214285714286
203,"-77.0164,38.7842",0.3125
204,"-118.35409893,34.08379326",0.032467532467532464
205,"-76.593293,39.283252",0.0
206,"-0.1094,51.5141",0.25
207,"18.431463,-33.922167",0.0
208,"51.5293,25.2834",0.0
209,"123.90504012,10.31827859",0.0
210,"-74.9322,40.2283",-0.08333333333333333
211,"100.933,13.2667",0.0
212,"-78.28885,44.3148",0.1642361111111111
213,"-79.8833,44.3167",0.55625
